Année;Lieux;Championnat;Code_Course;Distance;Finale;Position;Temps;Club1;Club2;Club3;Club4;Rameur1;Rameur2;Rameur3;Rameur4;Rameur5;Rameur6;Rameur7;Rameur8;Barreur
2011;Bourges;Championnat de France FFSU;FU1x;1000;FA;1.0;04:43.77;C.R.Sport U de Paris;;;;Laura BERNARD;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FA;2.0;04:50.30;UBordeaux BX4;;;;Alice BOURSON;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FA;3.0;04:55.88;Universite la Rochelle;;;;Francoise DE VAUGELAS;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FA;4.0;04:59.61;Universite Lyon III;;;;Elisa JAUSSEIN;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FA;5.0;05:05.51;C.R.S.U.;;;;Philippine BERTON;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FB;1.0;05:10.70;C.R.S.U.;;;;Elise ROULOT;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU1x;1000;FB;2.0;05:32.00;ESTP Paris;;;;Solene PEQUIN;;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;1.0;04:06.01;UHP Nancy;;;;Anne JOUY;Charlotte CULTY;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;2.0;04:21.22;UT Compiãšgne;;;;Blanche LEGIN;Joy KANTE;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;3.0;04:22.40;UHP Nancy;;;;Joelle MIRAULT;Fanny KLAUS;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;4.0;04:34.07;Universite Paris 2;;;;Nathalie COLLET;Caroline MATHIEU;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;5.0;04:39.32;ULittoral;;;;Camille CARPENTIER;Delphine TESTARD;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FA;6.0;04:46.94;U.Rennes 1;;;;Lucie ARAUJO;Eva-Maria WACHTER;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FB;1.0;05:18.16;ASU Nantes;;;;Jessica MAURY;Nadine WALTER;;;;;;;
2011;Bourges;Championnat de France FFSU;FU2x;1000;FB;2.0;05:25.99;Universite Paris 6;;;;Emma DEBERDT;Roxane ZINE;;;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;1.0;03:40.84;U.Nancy 2;;;;Vanessa GRANDPIERRE;Louisa EL ALLALI;Justine LECOMTE;Coralie RIBEIL;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;2.0;03:54.24;Universite Lyon 1-Sciences;;;;Clara KINTZ;Daphne SOCHA;Flavie BAHUAUD;Estelle RIVIERE;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;3.0;04:17.09;ASU Nantes;;;;Julie FONTENEAU;Julia GUILLEEM;Adeline PRIN;Morgane BOTHOREL;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;4.0;04:18.72;Universite Paris 2;;;;Julie BROUILLET;Valerie GATIGNON;Sahana JAYAKUMAR;Mathilde LAPCZUNSKI;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;5.0;04:32.77;INPL Nancy;;;;Aude AZARIAN;Delphine PARQUIN;Marine ROSSELLE;Jacinthe BEC;;;;;
2011;Bourges;Championnat de France FFSU;FU4x;1000;FA;6.0;04:53.51;ESCP Europe Paris;;;;Laura NOUVION;Alice AGUIRREGABIRIA;Juliette FRANC;Fanny SUROT;;;;;
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;1.0;03:53.85;ASU Nantes;;;;Katia BELLIOT;Domitille SCHNELLER;Marie PICARD;Laura EUDELINE;Anne BOURCY;Camille GOASGUEN;Lea BROUSSET;Pauline CHARLES;Amelie SAUSSEREAU
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;2.0;04:12.64;ESCP Europe Paris;;;;Gayane BAKALOGLOU;Loreline FRANZETTI;Mathilde JARDIN;Caroline JEAN;Gwenaelle LE ROUX;Pauline LEFEVRE;Elena POPOVA;Marion REVOL;Cecilia SALVIO
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;3.0;04:15.62;HEC;;;;Laure BAUDURET;Jamila KARAKHI;Constance CAILLAUD;Safaa LORABI;Mathilde PETRIAT;Alice GAILLARD;Juliette BRASART;Margot COSTA;Laura ABDAT
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;4.0;04:16.91;E.S.S.E.C.Cergy;;;;Aurelie JARLIER;Laetitia DE LARTURIERE;Andrea LAPRAS;Elisabeth FEDERSPIEL;Marion BRESSON;Marie-Alix DEMOLINS;Louise SARROT;Anne LEVI;Marie FUR
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;5.0;04:22.07;Centrale;;;;Isella RIGOULET;Daniela OETINGER;Marie GROSMENS;Gil MEIER;Sophie SEBBATA;Sophie BLANCHARD;Georgina HALL;Adelaide;Rabeb SELMI
2011;Bourges;Championnat de France FFSU;FU8+;1000;FA;6.0;04:38.15;UB 71-IUT le Creusot;;;;Helene VAHIER;Mathilde DUPARC;Anne-Sophie LAMARRE;Eva DARRE;Julie DALLA COSTA;Ameline FRIBOURG;Lise JOUBERT;Maud VAN-HOUTTE;Heidi LORON
2011;Bourges;Championnat de France FFSU;HU1x;1000;FA;1.0;03:48.49;Grenoble Ecole Management;;;;Vincent CAVARD;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FA;2.0;03:56.54;AMM Medecine-Pharmacie;;;;Julien GAZAIX;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FA;3.0;03:59.57;ASUDA Valence;;;;Laurent FOUCAULT;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FA;4.0;03:59.77;ASU Nantes;;;;David VARAINE;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FA;5.0;04:21.07;UB 71-IUT le Creusot;;;;Jean Baptiste ROUMY;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;1.0;03:59.72;Universite de Metz;;;;Pierre LEGAY;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;2.0;04:14.60;Pole Universitaire L.Vinci;;;;Axel MARTIN;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;3.0;04:18.55;HEI;;;;Edouard CASSELEUX;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;4.0;04:19.85;Université des Sciences;;;;Thomas MORTIER;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;5.0;04:20.48;Pole Universitaire L.Vinci;;;;Nicolas SAUVAL;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU1x;1000;FB;6.0;04:20.76;U.Nancy 2;;;;Zonca AYRTON;;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FA;1.0;03:43.02;U Lille 1;;;;Benjamin RYNGAERT;Pierre FOBERT;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FA;2.0;03:50.82;Ecole de Kine Vichy;;;;Loic BOUCHET;Antoine GRAS;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FA;3.0;04:01.98;Université de Picardie;;;;Julien MASSE;Fabien BRASSEUR;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FA;4.0;04:04.37;Universite la Rochelle;;;;Louis-Pierre DE VAUGELAS;Jean.baptiste GUILLET;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FA;5.0;04:16.11;UHP Nancy;;;;Malo DALISSIER;Maxime WEBER;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FB;1.0;04:11.09;ASU le Mans;;;;Camille ZARRI;Tony ORIVAL;;;;;;;
2011;Bourges;Championnat de France FFSU;HU2-;1000;FB;2.0;04:12.55;UT Compiãšgne;;;;Pierre BERNARD;Fabien GERNAIS;;;;;;;
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;1.0;03:22.55;Université de Picardie;;;;Loic BOULIO;Jean-Baptiste COLL;Vincent DRUEL;Pierre MALLARD;;;;;
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;2.0;03:22.69;Universite Lyon 1;;;;Constant RYNGAERT;William D ERCEVILLE;Alexandre BUSSER;Simon DRANCOURT;;;;;
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;3.0;03:26.70;INPL Nancy;;;;Quentin SORIGUE;Nicolas CORNU;Arnaud FREMINET;Benjamin VUILLEMEY;;;;;Pauline LECOMTE
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;4.0;03:32.45;Universite Lyon 1-Sante;;;;Alexis GABRIELE;Guillaume MAILLET;Maxime BOUILLON;David GRANDCLEMENT;;;;;Aline COINTREL
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;5.0;03:39.67;Ecole Polytechnique;;;;Quentin NOUVELOT;Timothee MOUTERDE;Gautier DIETRICH;Patrick QUACH;;;;;Feng GAO
2011;Bourges;Championnat de France FFSU;HU4+;1000;FA;6.0;03:52.86;SUP.Elec;;;;Jacques DESPRES;Hadrien DUVETTE;Tristan VINCENT;Lucas VIOLLEAU;;;;;Hadrien LANCTUIT
2011;Bourges;Championnat de France FFSU;HU4+;1000;FB;1.0;04:07.66;Ecole Centrale Marseille;;;;Aurelien DESTRUEL;Jean-Lou MURAT;Loic RAYMOND;Martin SOZET;;;;;Claire BAUDIER
2011;Bourges;Championnat de France FFSU;HU4+;1000;FB;2.0;04:09.26;ESCP Europe Paris;;;;Bogdan OBRAZ;Nicolas SAINT BRIS;Pierre- Emmanuel HASSOUN;Charles RODRIGUEZ;;;;;Cecilia SALVIO
2011;Bourges;Championnat de France FFSU;HU4+;1000;FB;3.0;04:13.95;Ecole Polytechnique;;;;William CLEMENTS;Aissam GHOUDRANI;Xavier VINCELOT;Wangru SUN;;;;;Thomas MEGARBANNE
2011;Bourges;Championnat de France FFSU;HU4+;1000;FB;4.0;04:25.20;ESTP Paris;;;;Ined MOUSSAOUI;Pierre BOURGUIGNON;Maxime BACH DELPEUCH;Nathan GRIVEAU;;;;;Lea SEINCE
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;1.0;03:17.62;U.Nancy 2;;;;Theophile ONFROY;Jordan LEQUY;Pierre LEFEVRE;Aymeric FOUQUART;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;2.0;03:25.90;INSA Toulouse;;;;Arnaud RAZAT;Jules GRAND;Leo SAUVAGET;Hadi BOUKHATMI;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;3.0;03:48.62;Universite Paris 2;;;;Michel GALA;Edouard VIGUIER;Frank WEISS;Sylvain WDOWIK;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;4.0;03:53.55;ENSAM Cluny;;;;Kevin COLER;Alexandre ROSSI;Maxime CORDOVA;Ugo MOLIN;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;5.0;03:54.91;ISAE SUP Aero Toulouse;;;;Mario LE GLATIN;Simon TUSSEAU;Adrien STIEVENARD;Eduardo VIOQUE;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FA;6.0;03:55.88;ASU Nantes;;;;Gauthier HERONNEAU;Pierre-Louis MERER;Matthieu MOSCON;Victorien DELANNEE;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;1.0;04:10.69;Universite de Savoie;;;;Jean-Remy GARCIA;Jerome PASQUIER;Fabien COUDERT;Tanguy MERMET;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;2.0;04:13.23;Ensib-Bourges;;;;Nicolas JOLLY;Antoine LAUSSEL;Kevin SERAFIN;Philip DUBOIS;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;3.0;04:16.30;ENS Mines Paris;;;;Pierre ALBERTINI;Alexandre GERST;Paul COLLAS;Fernand PAJOT;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;4.0;04:17.40;Universite Paris 2;;;;Jean-Philippe MAGINOT;John RISNESS;Antonin RODRIGUEZ;Hugo PATUREL;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;5.0;04:22.74;ASU Angers;;;;Theo LE GUILLOU;Vincent PELLERIN;Fran?Ois PINEAU;Emmanuel BELLARD;;;;;
2011;Bourges;Championnat de France FFSU;HU4x;1000;FB;6.0;04:42.10;ENS Mines Paris;;;;Alois BISSUEL;Thomas LECONTE;Briac PIRIOU;Chingis DUGARZHAPOV;;;;;
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;1.0;03:03.03;UHP Nancy;;;;Clement PETITJEAN;Silvere BARDE;Nicolas MASSON;Charles BOULANGER;Alexandre MASSON;Arnaud JESSON;Elie COUPU;Robin COCHENNEC;Pauline LECOMTE
2011;Bourges;Championnat de France FFSU;HU8+;1000;FA;2.0;03:07.19;ESTP Paris;;;;Mickael BONARDET;Fabian DECOUR;Guillaume GIRARDOT;Jean MERCIER;Raphael HINDRE;Christophe GERARD;Samuel GABORIEAU;Benoit BERAUD-SUDREAU;Cecile BERAUD-SUDREAU
