Année;Lieux;Discipline;Championnat;Code_Course;Catégorie;Embarcation;Distance;Finale;Position;Temps;Moyenne_Ergo_Bateau;Club1;Club2;Club3;Club4;Rameur1;Rameur2;Rameur3;Rameur4;Rameur5;Rameur6;Rameur7;Rameur8;Barreur
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;C4Yx+  SP;COLLEGE;C4Yx+;1000;FA;1.0;04:20.577;;COLLÈGE FRANÇOIS MITTERRAND-FENOUILLET;;;;CAMILLE BEDOUCH--GATTI;MILO BLAY;TIAGO FARTO JOFRE;KAYNA ANGELO;;;;;LOU MORENO
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;C4Yx+  SP;COLLEGE;C4Yx+;1000;FA;2.0;04:40.037;;COLLÈGE SAINT-CHARLES-CHALON-SUR-SAÔNE;;;;AGATHE BENOD;SILOË BELLAMY;ELÉA PATINIER;CONSTANCE BOITEAU;;;;;EMMY HUANG
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;C4Yx+  SP;COLLEGE;C4Yx+;1000;FA;3.0;04:46.887;;COLLÈGE FRANÇOIS MITTERRAND-FENOUILLET;;;;ANAIS BROCHET;LYLOU MADOUAS;ALICIA MOKRANE;ELFIE WALTER ROY;;;;;PACO RAMIREZ
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;1.0;03:56.794;;COLLÈGE ERNEST-JACQUES BARBOT-METZ;;;;ALYSSA DE SOUSA;ABIGAËLLE GOUTTIN;JEANNE PICARD;SHIMAN QIAN;;;;;HÉLOISE ROGER
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;1.0;04:20.577;;COLLÈGE FRANÇOIS MITTERRAND-FENOUILLET;;;;CAMILLE BEDOUCH--GATTI;MILO BLAY;TIAGO FARTO JOFRE;KAYNA ANGELO;;;;;LOU MORENO
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;2.0;04:00.134;;COLLÈGE LÉONARD DE VINCI-MONTAUROUX;;;;ALICIA DE GEITERE;MAELYS GABRIEL;LUCIE NIXON;CLOTILDE BEDEAU;;;;;RAPHAÊL MCKERNAN
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;3.0;04:00.682;;COLLÈGE PIERRE BROSSOLETTE-LE PERREUX-SUR-MARNE;;;;EGLANTINE DECAVELE;NINA PIERROT ZENANIK;MAXINE TURLIN;NICOLLE URSU;;;;;JULIEN GOFFINET
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;4.0;04:01.218;08:31.80;COLLÈGE BUVIGNIER-VERDUN;;;;MARGOT DOUCET;ALIX PETITCOLAS;LÉONIE CHENET;VALENTINE IAICHOUCHEN;;;;;LILOU HAROS
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;5.0;04:15.602;;COLLÈGE DE L'ÉPINE-NOVALAISE;;;;LEYNA DENAYER;INÈS DENAYER;ALICE POUPARD;LÉA GROS;;;;;PACOME MARMONIER
2026;Pont-à-Mousson;UNSS/FFSU;Championnats de France UNSS et FFSU;CF4Yx+;COLLEGE;CF4Yx+;1000;FA;6.0;04:18.811;;COLLÈGE DE L'ALBE-ALBESTROFF;;;;LOUISE BOUR;LÉANA CLEMENT;JULIETTE GILLET;ANAÏS RASS;;;;;DIANE CHAMPENOIS
