Année;Championnat;Bassin;Code_Course;Type_Finale;Position;Temps;Club;Club_1;Club_2;Club_3;Club_4;Rameur_1;Rameur_2;Rameur_3;Rameur_4;Rameur_5;Rameur_6;Rameur_7;Rameur_8;Barreur
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;1.0;01:15.48;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Benjamin CHABANET;Raphael ANDRE;Vincent MARTIN;Hugo BOUCHERON;Benoit BARATIN;Antoine NOUGAREDE;Romain REPPELIN;Adrien MATHIAS;Maeva WAGNER
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;2.0;01:16.33;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Matthieu MOINAUX;Germain CHARDIN;Valentin ONFROY;Thibaut VERHOEVEN;Benjamin RONDEAU;Etienne JUILLET;Mathieu MERLAND;Charly LECLAIRE;Agathe ANGONIN
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;3.0;01:17.60;Sport Nautique de Bergerac;SPORT NAUTIQUE DE BERGERAC;;;;Hadrien GODE;Quentin LAURIOU;Nicolas STENDER;Quentin STENDER;Teo RAYET;Julien DESPRES;Guillaume AMPE;Louis DESPRES;Roxane CHAUVIN
2017;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;4.0;01:17.98;Aviron Grenoblois;AVIRON GRENOBLOIS;;;;Theo LUNATTI;Clement ROULET DUBONNET;Pierre D'AGATA;Thibaud TURLAN;Ondra ZEMAN;Loic LEZARME;Hugo LABORDE;Jean NOURY;Elsa TABOULET
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;1.0;01:18.20;Emulation Nautique de Bordeaux;EMULATION NAUTIQUE DE BORDEAUX;;;;Jean-Gabriel DUPEUX;Damien CREBASSA;Thibaud TURLAN;Florentin LONGUERE;Yoann GUIGNET;Charles LASCAUX;Romain BOUTRON;Benjamin LANG;Camille MARTIN
2018;SPRINTS 500m;Vichy;SH8+;FA;1.0;01:18.33;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Adrien MATHIAS;Romain REPPELIN;Antoine NOUGAREDE;Benoit BARATIN;Hugo BOUCHERON;Vincent MARTIN;Raphael ANDRE;Alexis GUERINOT;Maeva WAGNER
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;2.0;01:18.51;Cercle Aviron de Nantes;CERCLE AVIRON DE NANTES;;;;Kevin JAFFREDO;Luc-Mael KAMA;Mathieu SAUTEREAU;Benjamin LELIEVRE;Guillaume RAINEAU;Mickael MARTEAU;Mathieu LE NEPVOU;Vincent FAUCHEUX;Maurice POTROS
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;3.0;01:18.73;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Leo CASAGRANDE;Jeremie DOUCET;Boris JEOFFRET;Robin COLLINOT;Valentin ONFROY;Jordan LEQUY;Matthieu MOINAUX;Simon DEHOVE;Louise BOLMONT
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;1.0;01:18.74;Cercle de l'Aviron de Lyon;CERCLE DE L'AVIRON DE LYON;;;;Alberic CORMERAIS;Antoine NOUGAREDE;Benoit BARATIN;Romain REPPELIN;Vincent MARTIN;Hugo MARTIN;Pierre Emmanuel LEVEQUE;Romain CHEREL;Alexandra BOISTARD
2019;SPRINTS 500m;Gérardmer;SH8+;FA;1.0;01:18.79;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Etienne Juillet;Valentin Onfroy;Thomas Cousin;Thibaut Verhoeven;Benjamin Rondeau;Leo Casagrande;Matthieu Moinaux;Nicolas Vignol;Louise Bolmont
2014;SPRINTS 500m;Gérardmer;SH8+;FA;1.0;01:18.97;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Theophile ONFROY;Valentin ONFROY;Leo CASAGRANDE;Benjamin RONDEAU;Alexandre BARTHE;Jordan LEQUY;Sebastien RIETH;Thierry RICHARD;Melanie LELIEVRE
2013;SPRINTS 500m;Mantes-la-Jolie;SH8+;FA;4.0;01:19.11;Aviron Toulousain;AVIRON TOULOUSAIN;;;;Vincent DENIS;Anthony PERROT;Romain BOURDEU;Jerome DESCAZEAUX;Cedric BERREST;Julien BAHAIN;Aymeric FOUQUART;Matthieu ANDRODIAS;Aline COINTREL
2022;SPRINTS 500m;Vaires-sur-Marne;SH8+;FA;2.0;01:19.27;Cercle Nautique Verdunois;CERCLE NAUTIQUE VERDUNOIS;;;;Etienne JUILLET;Thibaut VERHOEVEN;Valentin ONFROY;Germain CHARDIN;Benjamin RONDEAU;Leo CASAGRANDE;Nicolas VIGNOL;Mathieu MERLAND;Yohan JOUGLEUX
